id,type,prompt,answer,explanation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,其他科学：注册城乡规划师,"根据自然资源部《关于以“多规合一”为基础推进规划用地“多审合一、多证合一”改革的通知》，建设项目用地预审与选址意见书有效期为____年，自批准之日起计算。
A:1
B:2
C:3
D:5",C,1. 根据《关于以“多规合一”为基础推进规划用地“多审合一、多证合一”改革的通知》，使用已经依法批准的建设用地进行建设的项目，不再办理用地预审：需要办理规划选址的，由地方自然资源主管部门对规划选址情况进行审查，核发建设项目用地预审与选址意见书。建设项目用地预审与选址意见书有效期为3年，自批准之日起计算。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,其他科学：注册城乡规划师,"对于一个完善的城镇体系，下列哪些项的表述是错误的____
A:每个城镇体系相应有一个中心城市
B:在城镇体系中，小城镇的数量多于规模大的城市的数量
C:城镇体系的城镇空间分布是有序的
D:城镇体系的空间范围应与行政区划保持一致",B,1. 城镇体系中规模大的城市数量应该多于小城镇的数量，这是城镇体系的一个基本特征。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,社会科学：初中政治,"当前，虽然地区冲突、霸权主义、孤立主义搅动着世界，令世界忧心，但是世界的主流依然未变，中国愿同国际社会各方一道，倡导共同、综合、合作、可持续的安全观。假如你是外交部发言人，以下可以代表中方立场和观点的是____

①当今时代的主题是和平与发展
②中国为建设合作共赢的新型国际关系而不懈努力
③中国国际地位不断提高，成为世界发展的主导力量
④当今世界，人们越来越致力于以和平谈判代替武力解决争端
A:①②③
B:②③④
C:①③④
D:①②④",D,"1. 首先，我们可以看出中国倡导安全观，与选项中的“合作共赢的新型国际关系”和“以和平谈判代替武力解决争端”相符。
2. 接着，选项中的“中国国际地位不断提高，成为世界发展的主导力量”并不符合中方观点。中国国际地位不断提高，是世界发展的重要力量。
3. 综上所述，符合中国外交政策的选项为①②④。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,社会科学：初中政治,"下列名句能够体现社会主义核心价值观基本内容之一“爱国”的是____
A:天下兴亡匹夫有责
B:以信立身以诚处世
C:己所不欲勿施于人
D:善学者能多能者成",A,"1. 首先，我们需要分析选项。选项A中的“天下兴亡匹夫有责”的意思是：国家的兴盛或衰亡,每个普通人都有一份责任。这句话体现了爱国主义精神。
2. 其他选项中，选项B中的“以信立身以诚处世”体现了诚信和诚实的价值观；选项C中的“己所不欲勿施于人”体现了尊重和关爱他人的价值观；选项D中的“善学者能多能者成”体现了勤奋和进取的价值观。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,社会科学：工商管理,"有一项年金，前3年无流入，后5年每年年初流入500万元，假设年利率为10%，(P/A，10%，5)=3.7908，(P/S，10%，3)=0.7513，(P/S，10%，2)=0.8264，其现值为____万元。
A:1994
B:1566
C:1813
D:1523",B,"1. 首先，需要了解递延年金递延期的计算。如果是发生在第W期期末，则递延期为W－1。本题中第一次现金流入发生在第4年初(与第3年末是同一时点)，所以递延期是2年。
2. 接着，递延年金现值$P=A\times (P/A,i,n)\times (P/S,i,m)$，其中，A为年金，i为利率，m指的是递延期，n指的是连续收支期。
3. 最后，带入题目中的条件进行计算。现值$P=500\times(P/A，10\%，5)\times(P/S，10\%，2)=500\times 3.7908\times  0.8264=1566.36$。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,社会科学：工商管理,"企业缴纳的耕地占用税，应在____科目核算。
A:应交税费
B:管理费用
C:在建工程
D:其他应付款",C,"1. 首先，耕地占用税是对占用耕地建房或从事其他非农业建设的单位和个人征收的税
2. 接着，根据会计准则，企业的耕地占用税，应在“在建工程”科目核算。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,社会科学：教育学,"根据我国心理学家冯忠良教授的学习分类，培养学生品德要通过____。
A:知识的学习
B:技能的学习
C:行为规范的学习
D:态度的学习",C,"1. 首先，了解冯忠良教授的学习分类，他将学习分为知识的学习、技能的学习、行为规范的学习三类。
2. 其次，行为规范的学习，行为规范是指学生应该遵守的行为准则和规范，如尊重他人、诚实守信等，这些规范可以直接引导学生形成正确的行为习惯和价值观念，从而培养学生的品德。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,社会科学：教育学,"开设跨学科课程或建立跨学科专业体现了高等教育课程发展的____。
A:综合化趋势
B:多样化趋势
C:人文化趋势
D:科学化趋势",A,1. 跨学科课程或跨学科专业是指将不同学科领域的知识和技能有机地结合起来，形成新的课程或专业，以满足现代社会对综合性、交叉性人才的需求，体现了多学科知识的综合化。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,理工科学：高等数学,"求极限：$\lim_{x\rightarrow0}\frac{\tan\left(\tan x\right)-\sin\left(\sin x\right)}{\tan x-\sin x}=$____
A:-1
B:0
C:2
D:$\frac{1}{2}$",C,"1. 首先，观察表达式，对上述表达式进行拆分，$L=\lim_{x\rightarrow0}\frac{\tan\left(\tan x\right)-\sin\left(\sin x\right)}{\tan x-\sin x}=\lim_{x\rightarrow0}\frac{\tan\left(\tan x\right)-\tan\left(\sin x\right)}{\tan x-\sin x}+\lim_{x\rightarrow0}\frac{\tan\left(\sin x\right)-\sin\left(\sin x\right)}{\tan x-\sin x}=L_1+L_2$
2. 其次，计算$L_1$。有命题：设$F(x)$在$x=0$的邻域内可导，且$\lim_{x\rightarrow 0}F'(x)=A$；又设$\lim_{x\rightarrow 0}f(x)=\lim_{x\rightarrow 0}g(x)=0$，且对$0<\left|x\right|<\delta$有$f(x)\neq g(x)$成立，则：$\lim_{x\rightarrow 0}\frac{F\left[f(x)\right]-F(g(x))}{f(x)-g(x)}=A$。对于$L_1$，令$F(x)=\tan x$，$f(x)=\tan x$，$g(x)=\sin x$，$F'(x)=\sec^2 x$，$\lim_{x\rightarrow 0}F'(x)=\sec^20=1$。于是有$L_1=\lim_{x\rightarrow 0}F'(x)=1$。
3. 接着，计算$L_2$。有命题：设$\lim _{x\rightarrow 0}\frac{F(x)}{x}=1$，函数$f(x)$，$h(x)$在$x=0$的邻域附近解析，$h(x)\not\equiv 0 $，则：$\lim_{x\rightarrow 0}\frac{f[F(x)]}{h(x)}=\lim_{x\rightarrow 0}\frac{f(x)}{h(x)}$。对于$L_2$，令$F(x)=\sin x $，$f(x)=\tan x $，$g(x)=\sin x$，$h(x)=\tan x-\sin x$，且$\lim_{x\rightarrow 0}\frac{F\left(x\right)}{x}=\lim_{x\rightarrow 0}\frac{\sin x}{x}=1$，则有$L_2=\lim_{x\rightarrow 0}\frac{f[F(x)]-g[F(x)]}{h(x)}=\lim_{x\rightarrow 0} \frac{\tan x-\sin x}{\tan x-\sin x}=1$。
4. 最后，$L=L_1+L_2=1+1=2$。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,理工科学：高等数学,"求极限：$\lim_{n\rightarrow\infty}\left(1-\frac{1}{1+2}\right)\left(1-\frac{1}{1+2+3}\right)\cdots\left(1-\frac{1}{1+2+\cdots+n}\right)=$____
A:$\frac{2}{3}$
B:$\frac{1}{2}$
C:$\frac{5}{6}$
D:$\frac{1}{3}$",D,"1. 首先，利用等差数列求和公式分析题目中表达式的第n项，可以发现：$1-\frac{1}{1+2+\cdots+n}=1-\frac{1}{\frac{n(n+1)}{2}}=\frac{(n-1)(n+2)}{n(n+1)}$，其中$n\ge 2$。
2. 其次，将第1步中的表达式代入原式，有$L=\lim_{n\rightarrow\infty}\left(1-\frac{1}{1+2}\right)\cdots\left(1-\frac{1}{1+2+\cdots+n}\right)=\lim_{n\rightarrow \infty}\frac{1\cdot4}{2\cdot 3}\cdot\frac{2\cdot5}{3\cdot 4}\cdot\frac{3\cdot6}{4\cdot 5}\cdots\frac{(n-3)n}{(n-2)(n-1)}\cdot\frac{(n-2)(n+1)}{(n-1)n}\cdot\frac{(n-1)\cdot(n+2)}{n(n+1)}$。
3. 最后，可以发现第2步中不同项之间的分子和分母存在重叠，化简后可以得到$L=\lim_{n\rightarrow \infty }\frac{1}{3}\cdot \frac{n+2}{n}=\frac{1}{3}\lim_{n\rightarrow\infty}\frac{1+\frac{2}{n}}{1}=\frac{1}{3}$，所以极限值为$\frac{1}{3}$。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,理工科学：高中化学,"可用来分离Fe^{3+}和Al^{3+}两种离子的试剂是____
A:盐酸
B:氢氧化钠溶液
C:氨水
D:硫氰化钾溶液",B,"1. 我们需要分析Fe^{3+}和Al^{3+}两种离子在不同试剂中的反应特点。
2. Fe^{3+}和Al^{3+}均不与盐酸反应，无法实现分离，A选项错误；
3. Fe^{3+}与氢氧化钠反应会生成不溶于水的Fe(OH)_3沉淀，而Al^{3+}会先生成Al(OH)_3沉淀，再进一步生成溶于水的偏铝酸钠，因此可以实现分离，B选项正确；
4. Fe^{3+}和Al^{3+}在氨水中都会形成沉淀，无法实现分离，C选项错误；
5. Fe^{3+}与硫氰化钾反应形成络合物，无法实现与Al^{3+}的分离，D选项错误。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,理工科学：高中化学,"25 ℃时，将pH=2的强酸溶液与pH=13的强碱溶液混合，所得混合液的pH=11，则强酸溶液与强碱溶液的体积比是(忽略混合后溶液的体积变化)____
A:$11:1$
B:$9:1$
C:$1:11$
D:$1:9$",B,"1. pH=13的强碱溶液中c(OH-)=0.1mol/L，pH=2的强酸溶液中c(H+)=0.01mol/L，酸碱混合后pH=11，即c(OH-)=0.001mol/L。
2. 设强酸和强碱溶液的体积分别为x和y，则:c(OH-)=(0.1y-0.01x)/(x+y)=0.001，解得x:y=9:1。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,其他科学：公务员,"透过车轮卷起的黄土，却见山野人秋，庄稼割过，静谧中含着一些寂静，只有阳光在切割过的根茬上烁烁闪亮。____。 填入横线上最恰当的是____。
A:这是一段颠簸的行程，一路上景色苍凉雄浑，寂静中裸露着贫瘠
B:也许是久旱的缘故，这边的溪流也变成了涓涓细流，在盘踞的石缝间流动
C:同绿色的南方相比，这里是荒凉的，乃至荒蛮
D:偶见人迹，大都是荒村野店。时而会有一座小小的孤庙一闪而过",D,"1. 题干中的环境描述给人一种丰收的田园风光的感觉，同时也有一些寂静的气息。此外，由“透过车轮卷起的黄土”可知，作者是在疾驰的车里看外面的景色。
2. 选项A的”苍凉雄浑“”贫瘠“和选项C的”荒凉“”荒蛮“与题干中丰收的田园风光不符，因此排除。选项B描述的溪流与题干内容没有联系，因此也排除。选项D描述的”偶见人迹“与题干中的寂静的气息相符，同时“一闪而过”与题干中体现的车辆疾驰对应，因此是最恰当的选项。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,其他科学：公务员,"据说，在东南沿海一带，渔民在捕到螃蟹后，将螃蟹放进一个上小肚大的竹篓里面，第一只螃蟹放进去时，渔夫就用重物将口封住，当第二只、第三只放进去后，渔夫就不再盖重物了，因为，第一只即将爬出篓口的螃蟹，会被第二只、第三只螃蟹拉到篓底。如此下去，即使篓口没有盖盖子，但也没有一只蟹能够爬出去。 这个故事意在告诉我们____。
A:人多不一定好办事
B:恶性竞争必然导致两败俱伤
C:内讧必然内耗，团结就是力量
D:与人方便，自己方便",C,"1. 首先，我们需要分析故事的内容。螃蟹之间的恶性竞争导致了它们无法逃脱渔夫的捕捞。如果它们能够团结一致，互相帮助，或许就能够逃脱。
2. 分析题目选项，四个选项中明确提到“团结”的只有C项。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,人类科学：高中历史,"北宋前期，统治者认为：""富者田连阡陌，为国家守财尔""，采取""不抑兼并""的土地政策。这导致北宋____
A:自然经济逐渐解体
B:自耕农经济发展受阻
C:重农抑商政策瓦解
D:土地所有制发生质变",B,1. 宋朝时期“不抑兼并”的的政策，促进了土地私有制进一步发展，使自耕农经济大量破产。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,人类科学：高中历史,"杜鲁门称,杜鲁门主义和马歇尔计划是“一个胡桃的两半”。下列理解不正确的是____
A:都是美国遏制战略的组成部分
B:都以经济和军事援助为主要形式
C:都着眼于反共反苏
D:都为了美国的政治和经济利益",B,1. 杜鲁门主义要以遏制共产主义作为国家意识形态和对外政策的指导思想，不是以经济和军事援助为主要形式。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,人类科学：法律职业资格证,"关于假释的说法，下列哪一选项是正确的?____
A:被判处无期徒刑的罪犯，实际执行13年方可假释，假释考验期为13年
B:死缓犯减刑为无期徒刑的，实际执行25年方可假释；减为25年有期徒刑的，实际执行20年方可假释
C:数罪并罚为无期徒刑的罪犯，也有可能适用假释
D:不得假释的犯罪分子必须限于暴力性犯罪",C,"1. 我们分析选项，假释A项不当选，前半句正确，《刑法》第81条规定，被判处无期徒刑的犯罪分子，实际执行13年以上可以假释，后半句错误，《刑法》第83条第1款规定，无期徒刑的假释考验期限为10年。
2. B项不当选，死缓犯不得直接假释，减为无期徒刑、有期徒刑后可以假释，但是限制减刑的死缓犯不得假释，选项中关于实际执行刑期的限制均为限制减刑死缓犯最少实际执行刑期的规定。
3. C项当选，只要数罪中任一罪未被判处10年有期徒刑以上刑罚，即使并罚超过10年有期徒刑以上刑罚，也可假释。
4. D项不当选，累犯不一定是暴力性犯罪，但是不得假释。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,人类科学：法律职业资格证,"某市甲区某企业经位于乙区的市建委批准在甲区建设一栋3层的厂房。但在施工过程中，擅自加至5层。市建委以其违法建房为由要求将整栋楼全部拆除。该企业不服向位于丙区的市政府申请复议，市政府经复议后决定责令该企业将超层部分拆除。对此，下列哪些说法正确?____
A:若该企业不服起诉的，应当向该市中级人民法院起诉
B:若该企业不服起诉的，可以向该市乙区人民法院起诉
C:若该企业不起诉，又不拆除超层部分的，该市建委可以申请甲区人民法院强制执行
D:若该企业不起诉，又不拆除超层部分的，该市人民政府可以申请丙区人民法院强制执行",A,"1. 我们分析选项，行政诉讼的管辖法院、申请执行行政行为的管辖法院市政府作为复议机关改变了原行为，故应当以市政府作为被告起诉。市政府充当被告的情形下，受理该诉讼的法院必须是中级人民法院，故选项B错误。
2. 本题中的行政行为是拆除房屋，针对的是不动产，故应当由不动产所在地(即甲区)的法院管辖。综合而言，若起诉，本案应由“甲区的中级法院”即市中级人民法院管辖(甲区本身不存在中级法院，负责甲区的中级法院应当是市中级人民法院)。故选项A说法正确。 
3. 在复议机关变更原行政行为的情形，若需要申请法院强制执行，必须由复议机关申请，故选项C错误。
4. 行政机关申请法院强制执行行政行为的，应当由基层人民法院管辖(这是级别管辖规则)，执行对象是不动产的，由不动产所在地法院管辖(这是地域管辖规则)。因此，本题若申请法院强制执行，应当由市政府向甲区人民法院申请。故选项D也是错误的。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,其他科学：注册会计师,"甲公司是国内一家上市公司。甲公司对其各子公司实行全面预算管理，并通常使用增量预算方式进行战略控制，子公司预算需要经甲公司预算管理委员会批准后执行。2015年10月，甲公司投资了一个新的项目乙(子公司)。2015年11月，甲公司启动2016年度预算编制工作，此时甲公司应要求乙公司编制____。
A:增量预算
B:零基预算
C:固定预算
D:弹性预算",B,1. 乙公司属于甲公司全新的子公司，在启动2016年度预算编制工作时没有可以参考的基数，预算编制者必须根据自己的经验和判断，加上对周围环境变化的预期来做预算。因此，乙公司应编制零基预算。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,其他科学：注册会计师,"债务人转让全部合同义务的，下列说法不正确的是____。
A:须债权人同意方可进行
B:新债务人可主张原债务人对债权人的抗辩
C:债务人转移债务的，原债务人对债权人享有债权的，新债务人可以向债权人主张抵销
D:非专属于原债务人自身的从债务，一并转让给新债务人",C,"1. 首先，债务人将债务的全部或者部分转移给第三人的，应当经债权人同意，因此选项A正确。
2. 其次，债务人转移债务的，新债务人可以主张原债务人对债权人的抗辩；原债务人对债权入享有债权的，新债务人不得向债权人主张抵销，因此选项B正确，选项C错误。
3. 然后，债务人转移债务的，新债务人应当承担与主债务有关的从债务，但是该从债务专属于原债务人自身的除外，因此选项D正确。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,人类科学：法学,"甲路过某自行车修理店，见有一辆名牌电动自行车(价值1万元)停在门口，欲据为己有。甲见店内货架上无自行车锁，便谎称要购买，催促店主去50米之外的库房拿货。店主临走时对甲说：“我去拿锁，你帮我看一下店。”在店主进入仓库后，甲便骑走电动自行车。甲的行为构成____。
A:诈骗罪
B:盗窃罪
C:侵占罪
D:职务侵占罪",B,"1. 分析选项：构成诈骗罪的一个重要因素是，被害人自愿交付财物，但店主没有将自行车交付给甲，因此排除诈骗罪；甲对于自行车不存在代为管理关系，因此排除侵占罪；甲对店内财物没有管理职能，因此排除职务侵占罪。
2. 通过对案情的分析及排除法，可知甲的行为构成盗窃罪。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,人类科学：法学,"下列选项中，属于民事法律关系的是____。
A:甲男与乙女之间的恋人关系
B:甲公司与乙公司之间的技术转让关系
C:甲公司与其分支机构之间的业务指导关系
D:甲教育局与乙中学之间的管理关系",B,"1. 民事法律关系，是指由民事法律规范所确立的以民事权利和民事义务为主要内容的法律关系。
2. A项为恋人关系，不属于民法调整的范围；C项业务指导关系中主体地位并不平等，没有互担权利义务，不属于民事法律关系；D项主体地位是一方隶属于另一方，不属于民事法律关系。
3. B项中的技术转让合同是一种合同关系，相互确立了对方享有的权利和承担的义务，双方主体地位平等，权利义务对等，故是一种民事法律关系。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,理工科学：高中数学,"已知函数$f(x)=\sin(\omega x-\frac{\pi}{6})(\omega>0).$若f(x)在$\left(0,\frac{\pi}{2}\right)$上有且仅有三个极值点，则不正确的有____
A:f(x)在区间$[0, \frac{\pi}{4}]$上的最小值可以等于$-\frac{1}{2}$
B:若$f(x)$的图像关于点$\left(\frac{\pi}{3},0\right)$对称，则$f(x)$在区间$\left(0,\frac{\pi}{12}\right)$上单调递增
C:$f(x)$的最小正周期可能为$\frac{\pi}{3}$
D:若$f\left(0\right)+f\left(\frac{\pi}{2}\right)=0$，将$ g(x)=\sin{2x}$的图象向右平移$\frac{\pi}{12}$个单位可得到$y=f\left(\frac{x}{3}\right)$的图象",A,"1. 根据极值点个数限制，可得$\frac{\pi}{2}\omega-\frac{\pi}{6} \in \left(\frac{5\pi}{2}, \frac{7\pi}{2}\right)$，解得$\omega \in \left(\frac{16}{3}, \frac{22}{3}\right)$。
2. 若A选项成立，则可得$\frac{\pi}{4}\omega - \frac{\pi}{6} \leq \frac{7\pi}{6}$，解得$\omega \leq \frac{16}{3}$，与1中范围矛盾。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,理工科学：高中数学,"二项式$(\sqrt[3]{3}+x)^{12}$的展开式中，系数为有理数的项的个数为____
A:6
B:5
C:4
D:3",B,"1. 该二项式展开的通项为$T_{r+1}=C^r_{12}3^{4-r/3}x^r$。
2. 若要通项系数为有理数，则需$3^{r/3}$为有理数，即$r$被3整除。0到12中符合要求的$r$共5项。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,人类科学：近代史纲要,"1956年毛泽东发表的《论十大关系》是以毛泽东为主要代表的中国共产党人开始探索中国特色的社会主义建设道路的标志，报告概括提出了十大关系。这十大关系围绕的基本方针是____
A:要把国内外一切积极因素调动起来，为社会主义事业服务
B:向外国学习
C:统筹兼顾，适当安排
D:正确处理沿海工业和内地工业的关系",A,1. 十大关系围绕一个基本方针，即调动国内外一切积极因素，为社会主义服务。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,人类科学：近代史纲要,"19世纪60年代后，洋务派兴办洋务事业的指导思想是____
A:师夷长技以制夷
B:中学为体，西学为用
C:“自强”“求富”
D:物竞天择，适者生存",B,1. 中学为体，西学为用，是洋务派的指导思想，主张将中国传统文化和西方现代文化相结合，以实现现代化。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,人类科学：思想道德修养与法律基础,"贯穿中国历史发展的一条主线是____
A:团结统一
B:爱好和平
C:爱国主义
D:自强不息",C,1. 贯穿中国历史发展的一条主线是爱国主义，它是中国人民的共同情感和价值观念，是中国历史发展的重要动力和精神支柱。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,人类科学：思想道德修养与法律基础,"构成爱情的三个基本要素是____
A:性爱、理想和经济基础
B:爱、理想和社会地位
C:性爱、理想和责任
D:性爱、理想和道德",C,1. 构成爱情的三个基本要素是性爱、理想和责任。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,其他科学：注册消防工程师,"干式和预作用的气压试验压力为____MPa。
A:0.1
B:0.2
C:0.25
D:0.28",D,1. 干式和预作用的气压试验压力为0.28MPa，且稳压24h，压力降不大于0.01MPa。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
