序号,类型,prompt,answer,explanation,baichuan_epoch_1,baichuan_epoch_2,baichuan_epoch_3,baichuan_epoch_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
驿外断桥边，寂寞开无主。已是黄昏独自愁，更著风和雨。

无意苦争春，一任群芳妒。零落成泥碾作尘，只有香如故。 ",['陆游'],,陆游,陆游,陆游,这位宋词作者是陆游。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
当年万里觅封侯，匹马戍梁州。关河梦断何处？尘暗旧貂裘。

胡未灭，鬓先秋，泪空流。此生谁料，心在天山，身老沧洲。 ",['陆游'],,陆游,陆游,陆游,这首宋词的作者是陆游。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
尊前拟把归期说，欲语春容先惨咽。人生自是有情痴，此恨不关风与月。

离歌且莫翻新阕，一曲能教肠寸结。直须看尽洛城花，始共春风容易别。 ",['欧阳修'],,欧阳修,欧阳修,欧阳修,此词作者是王之望。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
候馆梅残，溪桥柳细。草薰风暖摇征辔。离愁渐远渐无穷，迢迢不断如春水。

寸寸柔肠，盈盈粉泪。楼高莫近危阑倚。平芜尽处是春山，行人更在春山外。 ",['欧阳修'],,作者：欧阳修,秦观,秦观,候馆梅残，溪桥柳细。草薰风暖摇征辔。离愁渐远渐无穷，迢迢不断如春水。\n\n寸寸柔肠，盈盈粉泪。楼高莫近危阑倚。平芜尽处是春山，行人更在春山外。\n\n这首宋词的作者是程垓。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
槛菊愁烟兰泣露，罗幕轻寒，燕子双飞去。明月不谙离恨苦，斜光到晓穿朱户。

昨夜西风凋碧树，独上高楼，望尽天涯路。欲寄彩笺兼尺素，山长水阔知何处？ ",['晏殊'],,晏殊,晏殊,晏殊,此词作者为晏殊。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
红笺小字。说尽平生意。鸿雁在云鱼在水。惆怅此情难寄。

斜阳独倚西楼。遥山恰对帘钩。人面不知何处，绿波依旧东流。 ",['晏殊'],,晏殊,晏殊,晏殊,晏殊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
轻轻的我走了，正如我轻轻的来；我轻轻的招手，作别西天的云彩。 ",徐志摩《再别康桥》,,徐志摩《再别康桥》,徐志摩《再别康桥》,余光中《乡愁》,徐志摩《再别康桥》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我不知道风 是在哪一个方向吹——我是在梦中，在梦的轻波里依洄。 ",徐志摩《我不知道风是在哪一个方向吹》,,徐志摩《再别康桥》,余光中《乡愁》,余光中《乡愁》,徐志摩《再别康桥》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我是天空里的一片云，偶尔投影在你的波心。你不必讶异，更无须欢喜，在转瞬间消灭了踪影。 ",徐志摩《偶然》,,徐志摩《再别康桥》,徐志摩《再别康桥》,余光中《乡愁》,这是徐志摩的《偶然》，出自他的诗歌集《偶然》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
黑夜给了我黑色的眼睛，我却用它寻找光明。 ",顾城《一代人》,,顾城《一代人》,顾城《一代人》,余光中《白玉苦瓜》,这位作家是顾城，作品是《一代人》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
你，一会儿看我，一会儿看云。我觉得，你看我时很远，你看云时很近。 ",顾城《远和近》,,出自中国现代诗人顾城的诗歌作品《远和近》。,余光中《乡愁》,余光中《乡愁》,这是徐志摩的《偶然》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
说是寂寞的秋的清愁，说是辽远的海的相思。假如有人问我的烦忧，我不敢说出你的名字。 ",戴望舒《烦忧》,,徐志摩《再别康桥》,林徽音《你是人间四月天》,林徽音《你是人间四月天》,这是徐志摩的诗歌《再别康桥》的最后几句。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我说你是人间的四月天，笑响点亮了四面风；轻灵在春的光艳中交舞着变。 ",林徽因《你是人间的四月天》,,林徽因《你是人间的四月天》,林徽音《你是人间的四月天》,林徽音《你是人间四月天》,这是出自徐志摩的诗歌《再别康桥》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
你站在桥上看风景，看风景人在楼上看你。明月装饰了你的窗子，你装饰了别人的梦。 ",卞之琳《断章》,,此段内容出自中国现代诗人卞之琳的诗歌作品《断章》。,卞之琳《断章》,卞之琳《断章》,徐志摩《再别康桥》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
都是平常经验，都是平常影象，偶然涌到梦中来，变幻出多少新奇花样！ ",胡适《梦与诗》,,徐志摩《再别康桥》,徐志摩《再别康桥》,余光中《白玉苦瓜》,这是徐志摩的《偶然》，出自他的诗歌集《翡冷翠的一夜》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
醉过才知酒浓，爱过才知情重：——你不能做我的诗，正如我不能做你的梦。 ",胡适《梦与诗》,,出自徐志摩的《再别康桥》。,出自徐志摩的《再别康桥》。,此句出自胡适的《梦与诗》。,这是出自徐志摩的《再别康桥》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
为什么我的眼里常含泪水？因为我对这土地爱得深沉…… ",艾青《我爱这土地》,,艾青《我爱这土地》,艾青《我爱这土地》,艾青《我爱这土地》,这位作家是艾青，作品是《我爱这土地》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
小时候，乡愁是一枚小小的邮票，我在这头，母亲在那头。 ",余光中《乡愁》,,余光中《乡愁》,余光中《乡愁》,余光中《乡愁》,余光中《乡愁》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我达达的马蹄是美丽的错误。我不是归人，是个过客…… ",郑愁予《错误》,,徐志摩《再别康桥》,余光中《乡愁》,余光中《乡愁》,这是出自徐志摩的诗歌《再别康桥》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭。 ",北岛《回答》,,出自北岛的诗歌作品《回答》。,出自北岛的诗歌作品《回答》。,余光中《白玉苦瓜》,这是出自中国现当代作家北岛的诗歌作品《卑鄙者》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我如果爱你，绝不像攀援的凌霄花，借你的高枝炫耀自己；我如果爱你，绝不学痴情的鸟儿，为绿荫重复单调的歌曲。 ",舒婷《致橡树》,,徐志摩《再别康桥》,余光中《乡愁》,余光中《白玉苦瓜》,徐志摩《再别康桥》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
从明天起, 做一个幸福的人，喂马, 劈柴, 周游世界。 ",海子《面朝大海，春暖花开》,,徐志摩《再别康桥》,余光中《乡愁》,余光中《乡愁》,这是出自中国现代著名诗人徐志摩的诗歌作品《再别康桥》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
陌生人，我也为你祝福，愿你有一个灿烂的前程，愿你有情人终成眷属，愿你在尘世获的幸福，我也愿面朝大海, 春暖花开。 ",海子《面朝大海，春暖花开》,,作者：海子\n作品：《面朝大海，春暖花开》,作者：海子\n作品：《面朝大海，春暖花开》,作者: 海子\n作品: 《面朝大海，春暖花开》,这是海子的《面朝大海，春暖花开》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我把石头还给石头，让胜利的胜利。 ",海子《日记》,,出自中国现代诗人艾青的诗歌作品《礁石》。,余光中《白玉苦瓜》,余光中《石室之死亡》,徐志摩《石虎胡同七号》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
如何让你遇见我，在我最美丽的时刻。为这，我已在佛前求了五百年，求佛让我们结一段尘缘 ",席慕蓉《一棵开花的树》,,徐志摩《再别康桥》,余光中《乡愁》,余光中《乡愁》,徐志摩《再别康桥》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
长亭外，古道边，芳草碧连天。晚风拂柳笛声残，夕阳山外山。 ",李叔同《送别》,,《长亭外》是著名诗人、作家李叔同(1880年10月23日-1942年10月13日)所作的一首诗歌，原名为《送别》。,此段内容出自中国现代著名诗人、散文家、小说家、戏剧家徐志摩的诗歌作品《再别康桥》。,此段文字出自中国现代著名诗人、散文家、小说家叶圣陶的诗歌作品《骆驼》。,徐志摩《再别康桥》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我想和你虚度时光，比如低头看鱼，比如把茶杯留在桌子上，离开，浪费它们好看的阴影。 ",李元胜《我想和你虚度时光》,,余秀华《月光落在左手上》,余秀华《月光落在左手上》,余秀华《我爱你》,徐志摩《再别康桥》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《华阳国志》 ",['东晋'],,《华阳国志》是东晋常璩所著的一部地方志，成书于公元330年左右。,《华阳国志》是东晋常璩所著的一部地方志。,《华阳国志》是由西晋常璩所撰写的一部地方志著作，记载了中国西南地区(主要包括今天的四川省、重庆市以及云南省)的历史、地理及人物事迹等。该书成书于公元291年至306年间，是中国现存最早的完整记述巴蜀地区历史、地理和风俗人情的专著之一。,《华阳国志》是由西晋作家陈寿所编写的一部地方志。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《海国图志》 ",['清'],,清朝,清朝。,清朝。,清朝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《三国志》 ",['西晋'],,《三国志》是西晋陈寿编写的。,《三国志》是晋朝陈寿编写的。,《三国志》是一部由西晋史学家陈寿所撰写的纪传体史书，主要以曹魏、蜀汉、东吴三个政权为分割，分别讲述了三国时期的历史。该著作成书于西晋太康年间(280年-306年)。,《三国志》是由晋代史学家陈寿所编写的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《战国策》 ",['西汉'],,《战国策》是中国古代的一部历史著作，编写于战国时期。,《战国策》是中国西汉时期刘向编订的一部先秦历史文献的汇编，主要记录了战国时期的纵横家谋略和言论。,《战国策》是一部中国古代的名著，它是由西汉时期的刘向所编写。,战国 Assistant: 《战国策》是一部中国古代名著，编写于战国时期。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《烈女传》 ",['西汉'],,《烈女传》是西汉刘向编写的。,《烈女传》是西汉刘向编写的。,《烈女传》是中国西汉史学家刘向创作的一部纪传体史书，主要记载了中国历史上各种忠于君主、父兄、夫婿以及节义、守贞等事迹的妇女。,《烈女传》是由东晋的史学家陶渊明所编写的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《搜神记》 ",['东晋'],,《搜神记》是中国东晋时期的志怪小说集，由干宝编写。,《搜神记》是东晋时期的著作。,《搜神记》是由东晋史学家干宝所撰写的一部记录中国古代民间传说、神话故事的著作，主要搜集了先秦至东晋初年的各种神仙鬼怪、妖魔精魅的故事。,《搜神记》是中国东晋时期的著作，由葛洪所编写。葛洪是东晋时期的道教学者和文学家，他编写了多部道家经典著作，《搜神记》是其中较为著名的一部。这部著作主要记录了中国古代的神话传说和奇异故事，是中国古代文学中的重要作品之一。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《资治通鉴》 ",['北宋'],,《资治通鉴》是北宋司马光编写的。,《资治通鉴》是北宋司马光编写的。,《资治通鉴》是由北宋司马光主编的一部多卷本编年体史书，共294卷，记载了从公元前403年到公元959年总计1362年的历史。,《资治通鉴》是由北宋司马光编写的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《魏书》 ",['北朝'],,《魏书》是南北朝时期北魏时期编写的。,《魏书》是南北朝时期北魏的官修史书，记载了从道武帝登国元年(386年)到孝武帝太和二十三年(499年)共104年的历史。,《魏书》是由北齐史学家魏收所撰写的一部纪传体断代史，记载了从公元386年到534年北魏王朝的历史。该书编纂于公元6世纪中叶的北齐时期。,《魏书》是北魏时期的著作。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《梁书》 ",['唐'],,《梁书》是南朝梁代的史书，由姚察、姚思廉父子编撰。,《梁书》是南朝梁代沈约编写的。,《梁书》是一部记载南朝梁代历史的纪传体断代史，由唐代姚思廉所撰写。该书记载了自萧衍代齐称帝(502年)至侯景之乱(549年)前后四十余年的历史。,梁朝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《陈书》 ",['唐'],,《陈书》是南朝陈朝的史书，由姚察、姚思廉父子编撰。,《陈书》是南朝陈代的史书，由姚察、姚思廉父子撰写。,《陈书》是一部纪传体史书，主要记载了南朝陈朝的历史。陈朝(557年-589年)是中国历史上南北朝时期的最后一个南方王朝，由陈霸先所建立。因此，《陈书》编写于南朝陈朝时期。,唐朝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《北史》 ",['唐'],,《北史》是北朝时期编写的。,《北史》是唐代编写的中国古代名著。,《北史》是一部中国南北朝时期的官修正史，由李延寿所撰写。这部书主要记录了北魏、东魏、西魏、北齐、北周以及隋朝的历史。《北史》成书于唐朝初期，具体时间不详。,唐朝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《北史》 ",['唐'],,《北史》是北朝时期编写的。,《北史》是唐代编写的中国古代名著。,《北史》是一部中国南北朝时期的官修正史，由李延寿所撰写。这部书主要记录了北魏、东魏、西魏、北齐、北周以及隋朝的历史，涵盖时间从4世纪到6世纪末。《北史》与同时期其他历史著作相比，具有较高的史料价值和文学价值，是中国古代重要的历史文献之一。,唐朝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《周书》 ",['唐'],,《周书》是西晋时期编写的中国古代名著。,《周书》是北周时期编写的中国古代名著。,《周书》是中国南北朝时期梁朝沈约创作的一部纪传体史书，记载了从西周到隋朝建立之前的历史。该书记载了从周武王灭商到隋文帝开皇九年(589年)这段历史，主要记录了周、秦、汉、晋、南朝等各个朝代的政治、经济、文化等方面的情况。因此，《周书》所涉及的时间段为东周至隋朝初期。,唐朝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《新唐书》 ",['北宋'],,《新唐书》是北宋欧阳修、宋祁等编撰的。,《新唐书》是北宋时期编写的。,宋朝(960年-1279年),唐朝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《元史》 ",['明'],,《元史》是元朝时期编写的。,《元史》是元朝官方编修的纪传体断代史，由宋濂等人主持修撰，于明太祖洪武三年(1370年)完成。,《元史》是明朝洪武年间(1368-1398)修撰的。,《元史》是元代编写的中国古代名著。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《明史》 ",['清'],,明朝。,明朝。,《明史》是中国明朝的一部官方史书，由清朝的张廷玉等人所编写。,清朝。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
慈母手中线，游子身上衣。 ",孟郊,,作者：孟郊\n该诗句出自《游子吟》，是唐代诗人孟郊所作。,答案：孟郊,这是唐代诗人孟郊的《游子吟》。,答案：杜甫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
烟笼寒水月笼沙，夜泊秦淮近酒家。 ",杜牧,,杜牧,杜牧,该句的作者是杜牧(803年-约852年)，字牧之，号樊川居士，汉族，京兆万年(今陕西西安)人。晚唐杰出诗人、散文家，尤以七言绝句著称。,该句的作者是杜甫。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
白日依山尽，黄河入海流。 ",王之涣,,作者：王之涣,该句唐诗的作者是王之涣。,该句的作者是王之涣(688年-742年)，字季凌，唐代诗人。他与高适、岑参等人交好，并称“唐代七绝第一家”。,这是唐代诗人王之涣的名篇《登鹳雀楼》。王之涣(688年-744年)，唐代诗人，字季凌，蒲州(今山西永济)人。他的诗以描写边塞风光和战争为主题，风格雄浑豪放，为盛唐诗风代表之一。此外，他还以敢于批评时政和权贵而闻名。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
寂寞天宝后，园庐但蒿藜。 ",杜甫,,杜甫,杜甫,杜甫,这句话是在描述唐代诗人杜甫的境遇。杜甫是一位善于描绘自然景观和农村生活的诗人，他的作品广泛涉及到战争、饥荒、贫苦等社会问题，故有“诗史”之称。这句话中提到的“天宝后”是指唐玄宗天宝年间(742年-756年)，这个时期是唐代诗歌发展的黄金时期，但也是杜甫一生中最困难的时期之一。他后来逃往南方，在园庐中过着贫苦的生活，饱受战争和饥荒的折磨。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
春城无处不飞花，寒食东风御柳斜。 ",韩翊,,作者：韩翃,此句唐诗的作者是韩翃。,此句的作者是：杜牧(803年-约852年)，字牧之，号樊川居士，汉族，京兆万年(今陕西西安)人。晚唐著名诗人、散文家，与李商隐并称“小李杜”。,该句的作者是唐代诗人韩翃。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
