id,tyoe,prompt,answer,explanation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
长亭外，古道边，芳草碧连天。晚风拂柳笛声残，夕阳山外山。",李叔同《送别》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我想和你虚度时光，比如低头看鱼，比如把茶杯留在桌子上，离开，浪费它们好看的阴影。",李元胜《我想和你虚度时光》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《华阳国志》",['东晋'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《海国图志》",['清'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《三国志》",['西晋'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《战国策》",['西汉'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《烈女传》",['西汉'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《搜神记》",['东晋'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《资治通鉴》",['北宋'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《魏书》",['北朝'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《梁书》",['唐'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《陈书》",['唐'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《北史》",['唐'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《北史》",['唐'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《周书》",['唐'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《新唐书》",['北宋'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《元史》",['明'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,中文常识：著作,"下面这本中国古代名著是于哪个朝代编写的？你只需要回答朝代。例如：战国
---
《明史》",['清'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
慈母手中线，游子身上衣。",孟郊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
烟笼寒水月笼沙，夜泊秦淮近酒家。",杜牧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
白日依山尽，黄河入海流。",王之涣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
寂寞天宝后，园庐但蒿藜。",杜甫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
春城无处不飞花，寒食东风御柳斜。",韩翊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
春种一粒粟，秋收万颗子。",李绅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
锦瑟无端五十弦，一弦一柱思华年。",李商隐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
燕草如碧丝，秦桑低绿枝。",李白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
客路青山外，行舟绿水前。",王湾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
朱雀桥边野草花，乌衣巷口夕阳斜。",刘禹锡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
吾爱孟夫子，风流天下闻。",李白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
杨柳青青江水平，闻郎江上唱歌声。",刘禹锡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
长安回望绣成堆，山顶千门次第开。",杜牧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
吴丝蜀桐张高秋，空白凝云颓不流。",李贺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
日暮苍山远，天寒白屋贫。",刘长卿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
渭城朝雨浥轻尘，客舍青青柳色新。",王维,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
巴山楚水凄凉地，二十三年弃置身。",刘禹锡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
天门中断楚江开，碧水东流至此回。",李白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
弃我去者，昨日之日不可留；",李白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
昔人已乘黄鹤去，此地空余黄鹤楼。",崔颢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
床前明月光，疑是地上霜。",李白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
好雨知时节，当春乃发生。",杜甫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
移舟泊烟渚，日暮客愁新。",孟浩然,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
九曲黄河万里沙，浪淘风簸自天涯。",刘禹锡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
八月秋高风怒号，卷我屋上三重茅。",杜甫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
客行新安道，喧呼闻点兵。",杜甫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
岐王宅里寻常见，崔九堂前几度闻。",杜甫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
黑云压城城欲摧，甲光向日金鳞开。",李贺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
汴水流，泗水流，",白居易,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
湖上春来似画图，乱峰围绕水平铺。",白居易,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
君不见黄河之水天上来，奔流到海不复回！",李白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
单车欲问边，属国过居延。",王维,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
锄禾日当午，汗滴禾下土。",李绅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
饭颗山头逢杜甫，顶戴笠子日卓午。",李白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
松下问童子，言师采药去。",贾岛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
汉皇重色思倾国，御宇多年求不得。",白居易,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,中文常识：唐诗,"你们将看到一句唐诗。回答谁是作者，只回答一个名字:
渡远荆门外，来从楚国游。",李白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
关关雎鸠，在河之洲。窈窕淑女，君子好逑。",《周南·关雎》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
桃之夭夭，灼灼其华。之子于归，宜其室家。",《周南·桃夭》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
蒹葭苍苍，白露为霜。所谓伊人，在水一方。",《秦风·蒹葭》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
死生契阔，与子成说。执子之手，与子偕老。",《邶风·击鼓》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
摽有梅，其实七兮。求我庶士，迨其吉兮。",《召南·摽有梅》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
未见君子，我心伤悲。亦既见止，亦既觏止，我心则夷。",《召南·草虫》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
我心匪石，不可转也。我心匪席，不可卷也。",《邶风·柏舟》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
凯风自南，吹彼棘心。棘心夭夭，母氏劬劳。",《邶风·凯风》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
静女其姝，俟我于城隅。爱而不见，搔首踟蹰。",《邶风·静女》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
北风其凉，雨雪其雱。惠而好我，携手同行。",《邶风·北风》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
有匪君子，如切如磋，如琢如磨。",《卫风·淇奥》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,中文常识：诗经,"下面这段内容出自诗经的哪一篇？请只回复包含完整分类结构的篇目名称，不要包含其他内容。例如：《周南·关雎》
---
手如柔荑，肤如凝脂。领如蝤蛴，齿如瓠犀，螓首蛾眉。巧笑倩兮，美目盼兮。",《卫风·硕人》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
